cashflow_id,client_id,as_of_date,employment_income_gross,rental_income,investment_income,household_expenses,income_tax,insurance_premiums,property_expenses,property_loan_repayment,non_property_loan_repayment,cpf_contribution_total,regular_investments
1a219560-e472-4309-afd9-ba9a7741b6a0,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2016-08-24,9729.75,0.0,186.82,3172.98,778.38,0.0,0.0,0.0,0.0,1600.0,311.1
da13d12d-24d1-4c8b-aebe-5ec1c6d7b0a0,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2016-11-22,9800.88,0.0,201.77,3180.09,784.07,25.02,0.0,0.0,0.0,1600.0,311.1
40c2b617-f945-43c8-bd5d-aca8579a1f89,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2017-04-07,9909.35,0.0,288.66,3190.93,792.75,25.02,0.0,0.0,0.0,1600.0,311.1
4ea5a376-490c-470f-a907-15b301bcf3f3,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2017-12-25,10121.7,0.0,265.21,3212.17,809.74,25.02,0.0,0.0,560.59,1600.0,311.1
9d879aaf-e007-4946-9734-9e3883670a33,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2018-11-25,10399.86,0.0,242.73,3239.99,831.99,25.02,0.0,0.0,0.0,1600.0,311.1
9b984351-804d-4b33-94b0-f6d4903ef318,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2019-04-05,10510.7,0.0,243.08,3251.07,840.86,25.02,0.0,0.0,0.0,1600.0,372.56
849f6e3d-180c-4b08-b081-b89a1e02d3ac,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2019-06-17,10572.98,0.0,274.04,3257.3,845.84,25.02,0.0,0.0,0.0,1600.0,372.56
352e7a20-e38a-4fe5-9b5f-22c396350ca7,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2020-03-06,10800.42,0.0,246.53,3280.04,864.03,25.02,0.0,0.0,0.0,1600.0,372.56
b5c3eff7-2741-49e3-91c7-a9216c2f5110,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2020-11-11,11021.16,0.0,320.58,3302.12,881.69,25.02,0.0,0.0,850.03,1600.0,372.56
d2d41248-3128-423e-98d4-1509cc6970a4,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2021-02-20,11111.61,0.0,272.55,3311.16,888.93,25.02,0.0,0.0,605.89,1600.0,61.46
9d9c0c4d-b124-41dc-82aa-76c01b850754,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2021-12-20,11387.45,0.0,324.61,3338.75,911.0,57.71,670.24,0.0,685.05,1600.0,61.46
a69e5737-ec5e-4b8c-a6a8-0ef592db1d0e,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2022-01-14,11410.51,0.0,314.17,3341.05,912.84,57.71,0.0,0.0,0.0,1600.0,61.46
b6c425d1-ab90-456a-890a-581b32297d20,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2022-10-18,11669.19,0.0,304.08,3366.92,933.54,57.71,664.45,0.0,0.0,1600.0,61.46
1a56618e-4fc8-4b09-a0db-f52fb1b3854c,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2023-07-16,11927.94,0.0,338.55,3392.79,954.24,57.71,0.0,0.0,629.42,1600.0,61.46
4cdc7c9f-ca96-459e-96b5-054e83adb2db,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2024-04-07,12187.49,0.0,382.4,3418.75,975.0,57.71,0.0,0.0,1162.27,1600.0,61.46
2a408316-cd47-4ed6-9b4a-24f653778cd7,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2024-12-18,12441.61,0.0,266.1,3444.16,995.33,57.71,714.07,0.0,0.0,1600.0,61.46
7b5561e9-aed1-4367-9acf-185e5f650994,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2025-06-06,12613.96,0.0,362.53,3461.4,1009.12,57.71,0.0,0.0,0.0,1600.0,61.46
4c72d97b-5fd9-4d50-b815-4da1e55c92df,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2025-08-09,12679.46,0.0,356.95,3467.95,1014.36,32.69,0.0,0.0,0.0,1600.0,61.46
f46f3328-54a3-4793-aadc-505ca0d3728f,f3f9dc51-091b-45c3-9ee7-a1e71547680d,2025-11-21,12786.63,0.0,336.95,3478.66,1022.93,32.69,0.0,0.0,0.0,1600.0,754.86
526d51ac-8f92-4e64-9773-54b85719bc91,395ec60f-7472-4f10-959d-37277b37c209,2016-04-25,1007.99,0.0,29.58,2200.8,0.0,0.0,0.0,0.0,0.0,126.0,92.38
13617eef-296b-41c9-ba15-6824cffcf8a1,395ec60f-7472-4f10-959d-37277b37c209,2017-02-05,1031.59,0.0,41.93,2203.16,0.0,0.0,0.0,0.0,94.32,128.95,189.61
a8c2f760-6e7c-4424-8f51-9ae38b35e754,395ec60f-7472-4f10-959d-37277b37c209,2017-02-28,1033.52,0.0,33.84,2203.35,0.0,0.0,0.0,0.0,0.0,129.19,189.61
86c4bf80-fad2-4dca-a48a-be9020e6ede9,395ec60f-7472-4f10-959d-37277b37c209,2017-04-10,1036.95,0.0,43.45,2203.7,0.0,1.28,0.0,0.0,0.0,129.62,189.61
b1c03ad9-f6c2-4dee-a864-d7b93b01cd2c,395ec60f-7472-4f10-959d-37277b37c209,2017-10-18,1053.1,0.0,44.05,2205.31,0.0,1.28,0.0,0.0,0.0,131.64,194.56
900e823c-76ef-4a89-b83b-125443505471,395ec60f-7472-4f10-959d-37277b37c209,2017-11-30,1056.78,0.0,45.95,2205.68,0.0,1.28,0.0,0.0,0.0,132.1,194.56
ccb579d2-1083-470b-b9c1-71c0bbe67968,395ec60f-7472-4f10-959d-37277b37c209,2018-05-26,1072.02,0.0,40.34,2207.2,0.0,24.78,480.06,0.0,0.0,134.0,194.56
7c963718-0ac2-43ff-af0e-5774acd77cac,395ec60f-7472-4f10-959d-37277b37c209,2018-09-05,1080.91,0.0,51.74,2208.09,0.0,24.78,0.0,0.0,85.11,135.11,194.56
a8c188d8-aaf8-4f18-86bc-18bd6c327c74,395ec60f-7472-4f10-959d-37277b37c209,2018-12-21,1090.31,0.0,29.17,2209.03,0.0,24.78,0.0,0.0,0.0,136.29,194.56
32cbdfb7-8fb2-4cda-96c5-4853b55e0675,395ec60f-7472-4f10-959d-37277b37c209,2019-11-21,1120.27,0.0,46.48,2212.03,0.0,24.78,0.0,0.0,0.0,140.03,194.56
6783f2e4-93e0-416d-bc1a-f247b5549ff7,395ec60f-7472-4f10-959d-37277b37c209,2020-01-14,1125.18,0.0,32.2,2212.52,0.0,24.78,0.0,0.0,73.58,140.65,194.56
759034fe-7786-4726-821f-df956dba20c9,395ec60f-7472-4f10-959d-37277b37c209,2020-03-19,1131.11,0.0,36.18,2213.11,0.0,24.78,480.13,0.0,91.24,141.39,102.18
4d1529d3-eccd-4392-9091-056e71870543,395ec60f-7472-4f10-959d-37277b37c209,2020-05-22,1136.99,0.0,41.74,2213.7,0.0,24.78,0.0,0.0,0.0,142.12,166.37
b0c33f3f-ce4e-463d-af28-36e5514868e6,395ec60f-7472-4f10-959d-37277b37c209,2020-07-10,1141.5,0.0,49.95,2214.15,0.0,34.87,0.0,0.0,0.0,142.69,166.37
36163330-f951-48ae-8aab-87ff6307ce34,395ec60f-7472-4f10-959d-37277b37c209,2020-08-27,1145.95,0.0,38.03,2214.59,0.0,34.87,453.96,0.0,72.63,143.24,166.37
e4b4ea7f-d62b-4855-9f10-d6a4bea9bea6,395ec60f-7472-4f10-959d-37277b37c209,2021-01-10,1158.63,0.0,32.9,2215.86,0.0,38.45,0.0,0.0,0.0,144.83,166.37
5efd084f-9bb9-4310-9ece-6d8b7200b690,395ec60f-7472-4f10-959d-37277b37c209,2021-05-22,1171.07,0.0,36.94,2217.11,0.0,38.45,0.0,0.0,0.0,146.38,166.37
4e15d750-211a-4a53-abb8-a01a1d561030,395ec60f-7472-4f10-959d-37277b37c209,2021-09-29,1183.46,0.0,58.87,2218.35,0.0,38.45,468.32,0.0,0.0,147.93,166.37
f2a8274b-edeb-450f-a9d7-210767542eb1,395ec60f-7472-4f10-959d-37277b37c209,2022-03-24,1200.43,0.0,45.97,2220.04,0.0,38.45,0.0,0.0,0.0,150.05,166.37
2c58ede6-b523-4716-b48f-7e8b7d6b8317,395ec60f-7472-4f10-959d-37277b37c209,2022-06-21,1209.11,0.0,48.52,2220.91,0.0,14.95,0.0,0.0,0.0,151.14,166.37
