policy_id,client_id,policy_name,policy_type,benefit_type,sum_assured,premium_amount,payment_frequency,payment_term,life_assured,start_date,expiry_date,status
f17b1051-7c35-4509-b5c4-a31182508b69,e2564ada-dc96-446e-a209-b62431e250a5,"Morrison, Contreras and Murphy Life Plan",Life Insurance,Critical Illness,101570.71,19.28,Semi-Annual,11,Spouse,2024-08-26,2026-01-17,Matured
19e70729-c1ad-44f4-8c19-751b79f6dfb5,e2564ada-dc96-446e-a209-b62431e250a5,"Lang, Castillo and Evans Essential Plan",General Insurance,Total Permanent Disability,112380.02,36.73,Quarterly,23,Child,2025-09-22,2028-05-14,Active
8a6ceac5-d8dc-4fac-910a-ecd828a60d59,2c06dfe8-d725-4c85-971f-0a1efef7b187,Walker and Sons Legacy Plan,Health Insurance,Accidental,43687.79,21.1,Monthly,6,Parent,2016-03-10,2020-02-19,Matured
ab6b9a24-86bc-4b5e-9dc9-7006dcad1c8c,2c06dfe8-d725-4c85-971f-0a1efef7b187,Braun Group Health Plan,Life Insurance,Death,63027.28,7.34,Semi-Annual,18,Spouse,2022-10-29,2030-02-23,Active
68ce29db-0620-4a6e-a3c1-f75d8c6b0a9b,c3bdd2fb-e2fd-4bfc-83e0-ce97f09fb095,Montoya and Sons Essential Plan,Life Insurance,Accidental,149255.28,26.02,Monthly,13,Child,2020-11-02,2030-08-08,Active
86182d39-1746-4659-87d4-f847679aa5e8,c3bdd2fb-e2fd-4bfc-83e0-ce97f09fb095,"Walker, Baker and Cole Secure Plan",General Insurance,Hospitalization,96714.03,33.79,Quarterly,8,Spouse,2018-09-29,2026-05-17,Active
548298e4-680a-4b55-a1db-6c2a0cff93d6,c3bdd2fb-e2fd-4bfc-83e0-ce97f09fb095,Gonzalez-Hutchinson Life Plan,Life Insurance,Death,90742.55,31.52,Monthly,25,Self,2025-12-06,2027-07-03,Active
adad36f5-8858-4f63-84d4-ec8d5cc219c0,50486c7d-3817-4072-ac3e-eaba9f90cf56,Parrish PLC Legacy Plan,Life Insurance,Critical Illness,1272196.7,327.51,Quarterly,29,Self,2024-07-20,2026-08-21,Active
62052535-4521-404a-8998-21b8ee47dda4,50486c7d-3817-4072-ac3e-eaba9f90cf56,Harris-Nelson Shield Plan,Life Insurance,Death,1164089.36,279.5,Semi-Annual,25,Self,2025-11-12,2030-07-04,Active
e6c8c85f-0073-4af7-9a8e-9f3c284b67fc,50486c7d-3817-4072-ac3e-eaba9f90cf56,Logan-Green Total Care Plan,Health Insurance,Critical Illness,1294367.96,310.32,Quarterly,28,Spouse,2020-01-05,2024-07-26,Matured
4b6f35e7-2572-4bff-8449-95a9aa8b3624,84094c82-f508-427b-9ee4-fe3ba3f87387,Medina LLC Health Plan,Life Insurance,Total Permanent Disability,72274.03,23.9,Annual,20,Self,2017-12-24,2022-04-20,Matured
ec7e7b89-8813-4ebc-9d51-4aa527473a0e,84094c82-f508-427b-9ee4-fe3ba3f87387,"Larsen, Martinez and Allen Supreme Plan",Life Insurance,Hospitalization,76204.35,22.55,Quarterly,28,Child,2022-02-07,2024-10-16,Matured
f09d4d9f-8fee-4496-8112-6bfdd6576373,84094c82-f508-427b-9ee4-fe3ba3f87387,"Roberts, Carpenter and Rosales Legacy Plan",Life Insurance,Hospitalization,118704.6,30.6,Annual,29,Child,2018-02-06,2022-01-04,Matured
78d01169-1dc8-49b5-ab0f-1a8f80506e9f,84094c82-f508-427b-9ee4-fe3ba3f87387,Snyder PLC Life Plan,Life Insurance,Total Permanent Disability,123456.01,37.81,Annual,20,Self,2017-11-28,2021-09-27,Matured
164bb236-c5bc-4265-b6bc-fa4425d02ae5,c6222502-902e-4eaf-a53a-2b591ecd4271,Wood-Johnson Secure Plan,Life Insurance,Total Permanent Disability,998714.7,350.96,Quarterly,9,Parent,2021-01-07,2028-12-28,Active
8ee5d9a3-5858-4789-8c23-df972bc36dde,c6222502-902e-4eaf-a53a-2b591ecd4271,Turner LLC Shield Plan,Life Insurance,Death,975931.11,329.79,Quarterly,20,Spouse,2023-02-14,2031-04-08,Pending
43285c66-d12d-4449-b884-af00ab9807e4,c6222502-902e-4eaf-a53a-2b591ecd4271,Hunt PLC Health Plan,General Insurance,Death,914391.7,148.19,Monthly,29,Spouse,2022-11-12,2027-12-30,Active
4fc9cc2b-412f-405e-96a3-8150c61e87af,c6222502-902e-4eaf-a53a-2b591ecd4271,Jackson Group Essential Plan,General Insurance,Accidental,991060.77,148.24,Semi-Annual,19,Spouse,2021-01-31,2027-08-24,Active
