plan_id,client_id,plan_name,asset_class,start_date,end_date,status
90cee28e-f781-437f-943a-f8eac3343785,4cb813e6-1a7c-452a-9017-47702973fe54,Barnes-Jenkins Comprehensive Plan,General Insurance,2022-06-21,,Active
e3f4ec0e-89ef-46e5-92eb-99ce28b01985,4cb813e6-1a7c-452a-9017-47702973fe54,Flores Ltd Secure Plan,General Insurance,2022-08-09,,Active
4afda6a4-a929-4aee-9d72-3125d8fb21a4,4cb813e6-1a7c-452a-9017-47702973fe54,Wilson-Gonzalez Essential Plan,Life Insurance,2021-07-07,,Active
93651c6d-d11d-4675-b8b6-2efa8dd80d8e,4cb813e6-1a7c-452a-9017-47702973fe54,"Smith, Chan and Soto Diversified Fund",Equity,2024-09-04,,Active
c79e20a9-8494-4812-a4b3-cfacfd0f43c0,4cb813e6-1a7c-452a-9017-47702973fe54,"Foley, Hobbs and Caldwell Protector Plan",Life Insurance,2024-04-01,2025-12-13,Lapsed
9ef19847-b8b4-4c8b-991f-ac74e953486a,4cb813e6-1a7c-452a-9017-47702973fe54,Bennett PLC Global Fund,Cash,2024-06-15,,Active
b0bcc854-6604-4e30-ad7c-a854ced5f4fc,4cb813e6-1a7c-452a-9017-47702973fe54,Cobb Group Essential Plan,General Insurance,2020-07-06,2020-12-02,Settled
eae2eb10-ab5d-435c-b207-bb207a29c2e6,2bfded53-2de7-4331-96c1-1ccd3c851cb2,Barnes-Mcintyre Core Fund,Fixed Income,2024-03-10,,Active
7f1a6d4c-b6e4-4338-9848-ec759b7b6596,2bfded53-2de7-4331-96c1-1ccd3c851cb2,Orr Inc Portfolio Fund,Cash,2021-03-31,,Active
ee928b3c-d2ae-40bd-b802-b6587491e1f1,2bfded53-2de7-4331-96c1-1ccd3c851cb2,Campos-Harper Essential Plan,Health Insurance,2023-04-10,,Active
a69617a5-6d86-448a-8eec-4992467e2d4e,2bfded53-2de7-4331-96c1-1ccd3c851cb2,Allen LLC Global Fund,Cash,2025-03-12,,Active
9f690102-7f1d-490c-a6f9-fe7ad2a902b2,2bfded53-2de7-4331-96c1-1ccd3c851cb2,Kelly-Williams Essential Plan,Health Insurance,2025-05-01,2026-02-25,Matured
