valuation_id,policy_id,as_of_date,current_value
88b56e69-f12c-4521-93ec-8deb584591d8,a8590d69-6d0e-46f7-a155-e475e19c06c8,2017-10-31,0.0
05b64963-6df0-4096-a7a2-49f1e219da42,a8590d69-6d0e-46f7-a155-e475e19c06c8,2018-01-31,580.09
a17c7b30-4821-43df-8f97-e30ceed8ff32,a8590d69-6d0e-46f7-a155-e475e19c06c8,2018-06-03,1355.66
90695da7-175b-4118-9edd-60fc3f99edad,a8590d69-6d0e-46f7-a155-e475e19c06c8,2019-02-03,2900.47
049a33ec-72cd-489c-8621-139f4b666f3c,a8590d69-6d0e-46f7-a155-e475e19c06c8,2019-06-03,3657.12
65a7887c-6054-4770-a2d1-64155e9f54f4,a8590d69-6d0e-46f7-a155-e475e19c06c8,2020-01-25,5145.19
978e1472-a7de-40e1-bc77-65f90f76f2aa,a8590d69-6d0e-46f7-a155-e475e19c06c8,2020-12-08,7150.3
c6bcebc4-f6eb-435b-aa90-1836a33d62a6,a8590d69-6d0e-46f7-a155-e475e19c06c8,2021-05-07,8096.11
66b1bee0-e0e3-481e-b7a4-238a548f22a5,a8590d69-6d0e-46f7-a155-e475e19c06c8,2021-10-17,9123.88
4c7db64c-3304-43c6-805d-ae04ac540ed2,a8590d69-6d0e-46f7-a155-e475e19c06c8,2022-06-14,10637.18
da0d264f-41e9-44ce-b66c-d47a51021201,a8590d69-6d0e-46f7-a155-e475e19c06c8,2022-08-21,11065.94
d002925d-d509-482e-b22e-45d235cc8959,a8590d69-6d0e-46f7-a155-e475e19c06c8,2022-12-27,11873.03
d00ddece-a706-4b7a-97b3-fec12368ee25,a8590d69-6d0e-46f7-a155-e475e19c06c8,2023-02-25,12251.35
65fee5b2-5777-4524-b734-30d54190b9fc,a8590d69-6d0e-46f7-a155-e475e19c06c8,2023-09-05,13461.99
f7faa41f-5b2c-47db-9531-ec1e923a81b2,a8590d69-6d0e-46f7-a155-e475e19c06c8,2024-07-17,15454.49
8eb1b999-fcf4-46c1-9d85-4f0e04ff4ded,a8590d69-6d0e-46f7-a155-e475e19c06c8,2024-08-26,15706.7
d1201bd3-9e15-4270-ab08-a7ba289ff604,00e50ad8-900e-477a-9bb3-fa0d4dbcb61e,2024-10-15,0.0
daa4f4c9-bf0b-4529-a2c9-16cea3b01d11,a8590d69-6d0e-46f7-a155-e475e19c06c8,2024-10-15,16021.97
6fc79ef6-20e8-442e-be14-ab9dbd8401fa,00e50ad8-900e-477a-9bb3-fa0d4dbcb61e,2024-12-03,201.57
b8291f34-8d9c-4309-894f-bf138cf2386f,a8590d69-6d0e-46f7-a155-e475e19c06c8,2024-12-03,16330.93
2d7a4f06-f190-4dcc-b658-9ac647ead24a,00e50ad8-900e-477a-9bb3-fa0d4dbcb61e,2025-06-25,1040.74
7ce9cc65-d7de-41ce-952b-f1a659d9ed19,a8590d69-6d0e-46f7-a155-e475e19c06c8,2025-06-25,17617.23
953a3895-05a5-460b-b80c-c5070108fbe5,00e50ad8-900e-477a-9bb3-fa0d4dbcb61e,2025-08-03,1201.17
8189feb2-39e8-4283-90f7-ec38a62c7fe6,a8590d69-6d0e-46f7-a155-e475e19c06c8,2025-08-03,17863.14
a715d4f2-bd9c-42ad-b61a-ba05bab6d542,96891fee-bc38-4608-8ec8-83b7e843876b,2021-08-26,0.0
341fe1ab-363b-43dc-97f6-53a8d4c83b79,96891fee-bc38-4608-8ec8-83b7e843876b,2022-01-20,34.77
dcd0a0e2-7a0d-4118-9910-2a446d351630,96891fee-bc38-4608-8ec8-83b7e843876b,2022-06-14,69.07
ecda5660-4736-4a40-b0d5-4b52b0a9aac9,96891fee-bc38-4608-8ec8-83b7e843876b,2022-08-26,86.34
b27b1fb7-3e1a-4cae-88fc-2d93165bbd65,96891fee-bc38-4608-8ec8-83b7e843876b,2022-10-24,100.3
1d24c054-f84a-40a7-8fde-d0608d3c8b7a,3f0d5715-3b84-4863-88a0-737f0ced4e50,2023-12-10,0.0
5d5c2f35-c965-4309-91c9-6874305b9ad6,3f0d5715-3b84-4863-88a0-737f0ced4e50,2024-03-04,19.38
